"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"205";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"206";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;38;38;38;38;38;38;38;38;38;38;38
"207";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"208";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"209";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;46;46;46;46;46;46;46
"210";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"211";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"212";2;4;7;9;10;12;14;16;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;54;56;56
"213";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;52;52;52;52
"214";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;47;47;47;47;47;47;47
"215";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;41;41;41;41;41;41;41;41;41;41
"216";2;4;7;9;10;12;14;16;18;20;23;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
"217";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
