"V1";"V2";"V3";"V4";"V5";"V6"
" 0";"  6";" 0.00";" -5.066";"group";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"commitment";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"right";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"m";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"goal";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"convergence";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"code";"2.439458e-02"
" 2";" 13";"15.38";" -4.864";"provide";"2.742268e-02"
" 2";" 13";"15.38";" -4.864";"expand";"2.742268e-02"
" 2";" 13";"15.38";" -4.864";"born";"2.742268e-02"
" 5";" 22";"22.73";" -4.774";"support";"2.888952e-02"
" 3";" 16";"18.75";" -4.746";"broadly";"2.936561e-02"
" 4";" 19";"21.05";" -4.730";"student";"2.964540e-02"
"11";" 38";"28.95";" -4.468";"art";"3.453031e-02"
" 1";"  9";"11.11";" -4.364";"collection";"3.670854e-02"
" 1";"  9";"11.11";" -4.364";"play";"3.670854e-02"
" 1";"  9";"11.11";" -4.364";"methodological";"3.670854e-02"
" 1";"  9";"11.11";" -4.364";"http";"3.670854e-02"
" 1";"  9";"11.11";" -4.364";"boundary";"3.670854e-02"
"10";" 35";"28.57";" -4.285";"analysis";"3.844523e-02"
" 0";"  5";" 0.00";" -4.216";"book";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"teacher";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"discuss";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"aid";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"sociology";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"institutional";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"distinguish";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"complex";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"writer";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"stuff";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"skill";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"short";"4.004017e-02"
" 0";"  5";" 0.00";" -4.216";"refer";"4.004017e-02"
