"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"214";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"215";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"216";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"217";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"218";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"219";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"220";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"221";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"222";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"223";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"224";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"225";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"226";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"227";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"228";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"229";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"230";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"231";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"232";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"233";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"234";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"235";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"236";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"237";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"238";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;37;37
"239";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"240";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"241";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"242";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"243";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"244";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"245";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"246";2;4;6;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"247";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"248";2;4;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
